Compound,Reg,NORTWt
Cer(d18:1/20:0),Increased,0.03639
Cer(d18:1/22:1),Decreased,-0.26137
Cer(d18:1/24:1),Decreased,-0.06402
Cer(t18:0/16:0),Increased,0.10398
Dihydroceramide,Increased,0.13753
C2-Dihydroceramide ,Decreased,-0.00113
HexHexCer(d18:1/18:1),Increased,0.20861
HexCer(d18:1/16:0),Decreased,-0.05827
HexCer(d18:1/18:1),Increased,0.00502
HexCer(d18:1/20:0),Increased,0.18454
HexCer(d18:1/18:0),Decreased,-0.14102
HexCer(d18:1/24:1),Decreased,-0.01994
HexHexCer(d18:1/18:0),Decreased,-0.01232
SERINE,Increased,0.23551
CYSTEINE,Increased,0.12854
Guanidylic acid (guanosine monophosphate),Decreased,-0.20018
Uracil,Increased,0.11865
Uridine,Decreased,-0.05389
