Compound,Reg,HA
LysoPE(0:0/22:2),Increased,0.31469
LysoPE(15:0/0:0),Increased,0.26573
LysoPE(16:1/0:0),Decreased,-0.09091
LysoPE(18:0/0:0),Increased,0.35664
LysoPE(22:6/0:0),Decreased,-0.1958
LysoPI(18:0/0:0),Decreased,-0.34965
Lysyl-Leucine,Decreased,-0.18182
Lysyl-Proline,Decreased,-0.48252
METHACHOLINE,Increased,0.16783
Methionine sulfoxide,Increased,0.18881
Methyl linoleate,Decreased,-0.06993
MG(0:0/22:6/0:0),Decreased,-0.16084
N-(1-Deoxy-1-fructosyl)alanine,Increased,0.03497
"N,N-dimethyl-Safingol",Increased,0.51748
N1-Acetylspermidine,Increased,0.08392
N-ACETYL-L-ASPARTIC ACID,Increased,0.32168
N-ACETYLNEURAMINATE,Increased,0.30769
"NE,NE,NE-TRIMETHYLLYSINE",Increased,0.35664
NICOTINAMIDE,Increased,0.59441
Cer(d18:1/16:0)( N-Palmitoylsphingosine),Decreased,-0.60839
Octadecanamide,Increased,0.06993
Octadecenoylcarnitine,Increased,0.40559
OCTADECYLPHOSPHOCHOLINE,Decreased,-0.53147
Oleamide,Decreased,-0.17483
Oleic Acid ethyl ester,Decreased,-0.06294
PA(17:0/0:0),Increased,0.32168
PA(24:0/21:0),Increased,0.05594
Palmitic Acid ethyl ester,Decreased,-0.06294
Palmitoyl carnitine,Decreased,-0.00699
PC(16:0/18:2),Increased,0
PC(22:2/20:5),Increased,0.17483
PC(22:6/18:2),Decreased,-0.37063
PC(24:1/18:4),Decreased,-0.30769
PC(22:0/18:3),Decreased,-0.24476
PC(16:0/20:1),Increased,0.00699
PC(16:0/22:1),Increased,0.44755
PC(18:0/20:4),Increased,0.40559
LysoPE(16:0/0:0),Increased,0.55245
PE(17:1/0:0),Increased,0.32168
PE(18:0/22:2),Increased,0.73427
PE(19:1/0:0),Increased,0.25874
PE(22:2/20:5),Decreased,-0.28671
PE(22:4/15:0),Increased,0.43357
PE(22:6/22:6),Decreased,-0.11888
PE(24:0/22:4),Decreased,-0.04196
PE(16:0/22:4),Decreased,-0.05594
LysoPE(P-16:0/0:0),Increased,0.68531
PHENACYLAMINE,Decreased,-0.01399
PIPECOLINIC ACID,Increased,0.44056
PS(18:1/0:0),Increased,0.48252
PS(18:3/20:0),Increased,0.07692
PS(18:3/22:0),Decreased,-0.35664
PS(18:4/22:2),Decreased,-0.1958
PS(20:1/20:0),Decreased,-0.05594
PS(20:4/20:0),Increased,0.1049
PS(20:4/22:0),Increased,0.09091
Spermic acid,Increased,0.44056
SPERMIDINE,Decreased,-0.3007
Sphinganine,Decreased,-0.02098
Succinyladenosine,Increased,0.34965
TAURINE,Decreased,-0.14685
TG(14:1/20:5/22:6),Decreased,-0.18881
TG(18:4/18:3/18:4),Increased,0.3007
Urea,Decreased,-0.04196
Uric acid,Increased,0.06294
Valyl-Asparagine,Increased,0.15385
Vitamin A,Decreased,-0.0979
XANTHINE,Increased,0.00699
Cer(d18:0/18:1),Decreased,-0.04196
Cer(d18:0/18:1)_iso2,Decreased,-0.59441
Cer(d18:0/20:0),Increased,0.16783
Cer(d18:0/22:0),Decreased,-0.04196
Cer(d18:1/18:1),Decreased,-0.65734
Cer(d18:1/18:1)_iso2,Decreased,-0.33566
Cer(d18:1/20:0),Decreased,-0.48951
Cer(d18:1/22:1),Decreased,-0.18881
Cer(d18:1/24:1),Increased,0.44056
Cer(t18:0/16:0),Decreased,-0.42657
Dihydroceramide,Decreased,-0.46154
C2-Dihydroceramide ,Increased,0.15385
HexHexCer(d18:1/18:1),Increased,0.23077
HexCer(d18:1/16:0),Decreased,-0.06993
HexCer(d18:1/18:1),Increased,0.26573
HexCer(d18:1/20:0),Increased,0.59441
HexCer(d18:1/18:0),Increased,0.1049
HexCer(d18:1/24:1),Decreased,-0.16783
HexHexCer(d18:1/18:0),Decreased,-0.04895
SERINE,Decreased,-0.04196
CYSTEINE,Decreased,-0.04196
Guanidylic acid (guanosine monophosphate),Increased,0.1049
Uracil,Increased,0.22378
Uridine,Increased,0.37762
