Metabolite,log2FC,neglogp,pval
Lysyl-Leucine,0.1871,0.77103,0.16942
Lysyl-Proline,-0.80402,1.233,0.058483
METHACHOLINE,-0.64265,0.46205,0.3451
Methionine sulfoxide,0.44584,2.2502,0.0056204
Methyl linoleate,-0.27181,0.77103,0.16942
MG(0:0/22:6/0:0),0.031097,0.46205,0.3451
N-(1-Deoxy-1-fructosyl)alanine,0.11274,1.1594,0.069282
"N,N-dimethyl-Safingol",-0.067072,0.092694,0.8078
N1-Acetylspermidine,0.27461,0.25665,0.55379
N-ACETYL-L-ASPARTIC ACID,0.28822,1.4702,0.033865
N-ACETYLNEURAMINATE,0.11785,0.95447,0.11105
"NE,NE,NE-TRIMETHYLLYSINE",0.033265,0.25665,0.55379
NICOTINAMIDE,-0.075221,0.37458,0.42211
Cer(d18:1/16:0),-0.31135,1.9297,0.011758
Octadecanamide,-1.0812,3.1804,0.00066002
Octadecenoylcarnitine,-0.17225,1.0886,0.081543
ODPC,-0.75523,3.514,0.0003062
Oleamide,-0.8389,2.2502,0.0056204
Oleic Acid ethyl ester,-0.77229,1.3092,0.049073
PA(17:0/0:0),-0.096162,0.012212,0.97227
PA(24:0/21:0),-0.18916,0.60746,0.24691
Palmitic Acid ethyl ester,-0.20324,0.37458,0.42211
Palmitoyl carnitine,-0.20537,0.82991,0.14794
PC(16:0/18:2),0.1685,1.9297,0.011758
PC(22:2/20:5),-0.93633,1.3883,0.040894
PC(22:6/18:2),0.088672,1.3883,0.040894
PC(24:1/18:4),-0.45896,2.1395,0.0072534
PC(22:0/18:3),-0.013604,0.012212,0.97227
PC(P-16:0/20:1),0.285,2.1395,0.0072534
PC(P-16:0/22:1),0.19006,1.5556,0.027823
PC(P-18:0/20:4),-0.1324,0.65986,0.21885
PE(16:0/0:0),0.087075,0.89098,0.12853
PE(17:1/0:0),-0.099647,0.60746,0.24691
PE(18:0/22:2),0.080549,1.0886,0.081543
PE(19:1/0:0),0.12355,1.233,0.058483
PE(22:2/20:5),0.056192,0.82991,0.14794
PE(22:4/15:0),-0.15462,0.5086,0.31003
PE(22:6/22:6),0.040022,0.12242,0.75437
PE(24:0/22:4),0.11217,0.65986,0.21885
PE(P-16:0/22:4),0.54965,2.2502,0.0056204
LysoPE(P-16:0/0:0),0.1327,1.3883,0.040894
PHENACYLAMINE,-0.2058,2.1395,0.0072534
PIPECOLINIC ACID,0.41078,0.55702,0.27732
PS(18:1/0:0),0.17384,0.65986,0.21885
PS(18:3/20:0),0.19294,1.4702,0.033865
PS(18:3/22:0),0.0093974,0.037627,0.91701
PS(18:4/22:2),-0.032324,0.037627,0.91701
PS(20:1/20:0),-0.13887,1.233,0.058483
PS(20:4/20:0),0.075741,0.60746,0.24691
PS(20:4/22:0),-0.29935,1.8306,0.014772
Spermic acid,0.2636,1.233,0.058483
SPERMIDINE,0.072287,0.064458,0.86207
Sphinganine,0.013961,0.12242,0.75437
Succinyladenosine,0.10484,0.65986,0.21885
TAURINE,0.080142,0.71443,0.19301
TG(14:1/20:5/22:6),-0.45388,1.0886,0.081543
TG(18:4/18:3/18:4),0.19248,1.5556,0.027823
Urea,0.31793,4.5652,2.72E-05
Uric acid,,0.15361,0.70209
Valyl-Asparagine,0.058807,0.33356,0.46391
Vitamin A,-0.62259,2.0321,0.0092879
XANTHINE,-0.11557,0.89098,0.12853
Cer(d18:0/18:1),-0.15997,0.37458,0.42211
Cer(d18:0/18:1)_iso2,-0.09849,0.77103,0.16942
Cer(d18:0/20:0),-0.2821,0.65986,0.21885
Cer(d18:0/22:0),0.26091,0.89098,0.12853
Cer(d18:1/18:1),-0.13645,1.1594,0.069282
Cer(d18:1/18:1)_iso2,-0.21294,2.8839,0.0013064
Cer(d18:1/20:0),-0.1042,0.25665,0.55379
Cer(d18:1/22:1),0.72631,2.2502,0.0056204
Cer(d18:1/24:1),-0.10189,0.012212,0.97227
Cer(t18:0/16:0),0.27078,0.89098,0.12853
Dihydroceramide,-0.13502,1.3883,0.040894
C2-Dihydroceramide ,0.41522,0.29424,0.50788
HexHexCer(d18:1/18:1),0.20964,0.65986,0.21885
HexCer(d18:1/16:0),0.082703,0.22069,0.6016
HexCer(d18:1/18:1),0.060099,1.0202,0.095451
HexCer(d18:1/20:0),-0.073492,0.60746,0.24691
HexCer(d18:1/18:0),0.20625,3.3411,0.00045589
HexCer(d18:1/24:1),-0.12941,0.064458,0.86207
HexHexCer(d18:1/18:0),0.324,1.9297,0.011758
SERINE,-0.10368,0.65986,0.21885
CYSTEINE,0.1829,0.37458,0.42211
GMP,1.0255,2.2502,0.0056204
Uracil,-0.085991,0.37458,0.42211
Uridine,-0.086967,0.46205,0.3451
